code,name,latest_price,change_pct,volume,turnover,market_cap_cny,float_market_cap_cny,pe_dynamic,pb,market_cap_100m_cny,float_market_cap_100m_cny,ts_code,area,industry,market,list_date,industry_boards,concept_boards,updated_at
300677,英科医疗,39.4,2.85,106463.0,415129845.08,25797278562.0,18345160159.0,642.95,1.42,257.97278562,183.45160159,300677.SZ,山东,医疗保健,创业板,20170721,医疗保健,,2026-06-29 13:11:43
688332,中科蓝讯,144.43,-5.69,42551.0,635015139.0,25778637078.0,25778637078.0,-1098.07,5.12,257.78637078,257.78637078,688332.SH,深圳,半导体,科创板,20220715,半导体,,2026-06-29 13:11:43
000034,神州数码,25.35,-4.77,301293.0,788580231.0,25774350457.0,21525897795.0,27.3,2.31,257.74350457,215.25897795,000034.SZ,深圳,软件服务,主板,19940509,软件服务,,2026-06-29 13:11:43
688097,博众精工,57.46,-2.69,72480.0,431910571.0,25664380577.0,25570203637.0,225.29,5.35,256.64380577,255.70203637,688097.SH,江苏,专用机械,科创板,20210512,专用机械,,2026-06-29 13:11:43
600536,中国软件,27.48,-0.79,103602.0,286903990.0,25660455328.0,23183663995.0,-87.02,7.3,256.60455328,231.83663995,600536.SH,北京,软件服务,主板,20020517,软件服务,,2026-06-29 13:11:43
300179,四方达,52.7,-8.16,404142.0,2219514067.26,25597651111.0,19708844971.0,149.07,22.73,255.97651111,197.08844971,300179.SZ,河南,矿物制品,创业板,20110215,矿物制品,,2026-06-29 13:11:43
301486,致尚科技,198.81,-10.06,48037.0,997298347.7,25583068616.0,14404531032.0,-1053.34,10.01,255.83068616,144.04531032,301486.SZ,深圳,元器件,创业板,20230707,元器件,,2026-06-29 13:11:43
300319,麦捷科技,28.73,-7.32,1333232.0,4031612732.09,25500412549.0,24456993421.0,135.22,5.27,255.00412549,244.56993421,300319.SZ,深圳,元器件,创业板,20120523,元器件,,2026-06-29 13:11:43
688503,聚和材料,105.11,10.67,230855.0,2411118200.0,25440156216.0,25440156216.0,21.96,4.89,254.40156216,254.40156216,688503.SH,江苏,电气设备,科创板,20221209,电气设备,,2026-06-29 13:11:43
603124,江南新材,174.16,-2.35,31163.0,559020453.0,25382983858.0,13516350350.0,81.19,13.64,253.82983858,135.1635035,603124.SH,江西,铜,主板,20250320,铜,,2026-06-29 13:11:43
301392,汇成真空,253.08,3.81,69171.0,1805849983.11,25308000000.0,10324629156.0,230.13,33.87,253.08,103.24629156,301392.SZ,广东,专用机械,创业板,20240605,专用机械,,2026-06-29 13:11:43
688318,财富趋势,70.3,-3.83,42834.0,312304406.0,25207278378.0,25207278378.0,182.46,6.68,252.07278378,252.07278378,688318.SH,深圳,软件服务,科创板,20200427,软件服务,,2026-06-29 13:11:43
002536,飞龙股份,43.79,-9.0,392299.0,1796453673.85,25169874036.0,23839323074.0,108.8,7.54,251.69874036,238.39323074,002536.SZ,河南,汽车配件,主板,20110111,汽车配件,,2026-06-29 13:11:43
002266,浙富控股,4.82,-1.83,684257.0,335011456.0,25156888158.0,23341260804.0,10.44,2.04,251.56888158,233.41260804,002266.SZ,浙江,环境保护,主板,20080806,环境保护,,2026-06-29 13:11:43
601615,明阳智能,11.12,-2.37,569208.0,640778305.0,25147843371.0,25147843371.0,254.96,0.95,251.47843371,251.47843371,601615.SH,广东,电气设备,主板,20190123,电气设备,,2026-06-29 13:11:43
600110,诺德股份,14.46,-5.43,1525721.0,2305450312.0,25090716277.0,25090716277.0,156.47,4.45,250.90716277,250.90716277,600110.SH,吉林,电气设备,主板,19971007,电气设备,,2026-06-29 13:11:43
000415,渤海租赁,4.05,-2.64,495640.0,200791526.0,25047311192.0,21841301226.0,6.9,0.84,250.47311192,218.41301226,000415.SZ,新疆,多元金融,主板,19960716,多元金融,,2026-06-29 13:11:43
601717,中创智领,13.99,-1.41,199466.0,278003723.0,24977745021.0,21574898563.0,7.0,1.09,249.77745021,215.74898563,601717.SH,河南,专用机械,主板,20100803,专用机械,,2026-06-29 13:11:43
688800,瑞可达,86.79,-6.59,97445.0,878248874.0,24959397308.0,24959397308.0,105.93,10.68,249.59397308,249.59397308,688800.SH,江苏,元器件,科创板,20210722,元器件,,2026-06-29 13:11:43
601399,国机重装,3.46,2.98,2008684.0,717313077.0,24958903379.0,24958903379.0,49.13,1.68,249.58903379,249.58903379,601399.SH,四川,工程机械,主板,20200608,工程机械,,2026-06-29 13:11:43
600562,国睿科技,20.08,0.55,88773.0,177540278.0,24936505427.0,24936505427.0,80.77,3.71,249.36505427,249.36505427,600562.SH,江苏,通信设备,主板,20030128,通信设备,,2026-06-29 13:11:43
000791,甘肃能源,7.68,2.54,344131.0,262774897.58,24912689219.0,14865655956.0,12.78,1.68,249.12689219,148.65655956,000791.SZ,甘肃,水力发电,主板,19971014,水力发电,,2026-06-29 13:11:43
002149,西部材料,50.99,1.94,457739.0,2380735412.13,24894045831.0,24890221581.0,676.7,6.69,248.94045831,248.90221581,002149.SZ,陕西,小金属,主板,20070810,小金属,,2026-06-29 13:11:43
603950,长源东谷,76.75,10.0,136193.0,1021847324.0,24877038900.0,24856930400.0,75.07,8.15,248.770389,248.569304,603950.SH,湖北,汽车配件,主板,20200526,汽车配件,,2026-06-29 13:11:43
001696,宗申动力,21.71,-8.7,639678.0,1425954553.93,24858534433.0,19352255465.0,36.2,4.66,248.58534433,193.52255465,001696.SZ,重庆,摩托车,主板,19970306,摩托车,,2026-06-29 13:11:43
001896,豫能控股,16.29,-3.09,890067.0,1472210831.69,24854977866.0,24854977866.0,212.22,6.98,248.54977866,248.54977866,001896.SZ,河南,火力发电,主板,19980122,火力发电,,2026-06-29 13:11:43
000737,北方铜业,13.03,-0.15,334157.0,439226085.17,24818455148.0,24816146558.0,10.09,3.34,248.18455148,248.16146558,000737.SZ,山西,铜,主板,19970428,铜,,2026-06-29 13:11:43
601016,节能风电,3.78,-4.06,3543607.0,1371295938.0,24738157360.0,22824606754.0,30.32,1.39,247.3815736,228.24606754,601016.SH,北京,新型电力,主板,20140929,新型电力,,2026-06-29 13:11:43
688700,东威科技,82.87,-13.95,218026.0,1922549641.0,24728520703.0,24728520703.0,139.5,13.17,247.28520703,247.28520703,688700.SH,江苏,专用机械,科创板,20210615,专用机械,,2026-06-29 13:11:43
301123,奕东电子,105.13,-11.36,106439.0,1185731817.02,24667703200.0,17350827193.0,649.84,8.8,246.677032,173.50827193,301123.SZ,广东,元器件,创业板,20220125,元器件,,2026-06-29 13:11:43
301345,涛涛车业,226.16,-0.73,10949.0,246590552.86,24662537897.0,7922327355.0,34.97,6.82,246.62537897,79.22327355,301345.SZ,浙江,摩托车,创业板,20230321,摩托车,,2026-06-29 13:11:43
002624,完美世界,12.69,9.97,1040104.0,1289456516.12,24618199047.0,23193932290.0,59.94,3.75,246.18199047,231.9393229,002624.SZ,浙江,互联网,主板,20111028,互联网,,2026-06-29 13:11:43
605090,九丰能源,34.83,-0.6,124736.0,447107696.0,24587063614.0,24538674295.0,14.15,2.09,245.87063614,245.38674295,605090.SH,江西,供气供热,主板,20210525,供气供热,,2026-06-29 13:11:43
600704,物产中大,4.75,0.0,256260.0,120982598.0,24563104478.0,24563104478.0,6.32,0.58,245.63104478,245.63104478,600704.SH,浙江,仓储物流,主板,19960606,仓储物流,,2026-06-29 13:11:43
300073,当升科技,45.09,-1.29,130549.0,594522935.3,24542201490.0,22814246458.0,22.16,1.66,245.4220149,228.14246458,300073.SZ,北京,电气设备,创业板,20100427,电气设备,,2026-06-29 13:11:43
600299,安迪苏,7.96,-9.85,510056.0,412146898.0,24515042886.0,24515042886.0,20.06,1.25,245.15042886,245.15042886,600299.SH,北京,饲料,主板,20000420,饲料,,2026-06-29 13:11:43
300568,星源材质,16.39,-1.21,647037.0,1068537135.49,24506887538.0,19808330262.0,209.29,2.52,245.06887538,198.08330262,300568.SZ,深圳,化工原料,创业板,20161201,化工原料,,2026-06-29 13:11:43
301086,鸿富瀚,194.53,-6.02,22538.0,452251459.69,24484362826.0,12752007777.0,157.64,12.64,244.84362826,127.52007777,301086.SZ,深圳,元器件,创业板,20211020,元器件,,2026-06-29 13:11:43
603198,迎驾贡酒,30.54,3.35,67536.0,204351706.0,24432000000.0,24432000000.0,7.32,2.38,244.32,244.32,603198.SH,安徽,白酒,主板,20150528,白酒,,2026-06-29 13:11:43
000969,安泰科技,23.22,-8.65,770571.0,1943288889.09,24393060398.0,24180144005.0,61.47,4.3,243.93060398,241.80144005,000969.SZ,北京,小金属,主板,20000529,小金属,,2026-06-29 13:11:43
600977,中国电影,13.06,1.63,361736.0,459982027.0,24383020000.0,24383020000.0,-53.47,2.22,243.8302,243.8302,600977.SH,北京,影视音像,主板,20160809,影视音像,,2026-06-29 13:11:43
603766,隆鑫通用,11.83,-0.25,196741.0,232913170.0,24293400086.0,24293400086.0,12.89,2.82,242.93400086,242.93400086,603766.SH,重庆,摩托车,主板,20120810,摩托车,,2026-06-29 13:11:43
688507,索辰科技,272.29,-7.42,68648.0,1938054419.0,24263430795.0,13406396922.0,-178.72,8.81,242.63430795,134.06396922,688507.SH,上海,软件服务,科创板,20230418,软件服务,,2026-06-29 13:11:43
002130,沃尔核材,17.32,-2.53,232640.0,411577615.49,24246049110.0,19865213039.0,26.21,2.65,242.4604911,198.65213039,002130.SZ,深圳,电气设备,主板,20070420,电气设备,,2026-06-29 13:11:43
