ticker,has_options,checked_at,source,reason
QCOM,Y,2026-06-26T16:13:20,polygon_options_contracts,active option contract found
QQQ,Y,2026-06-27T17:48:02,polygon_options_contracts,active option contract found
REGN,Y,2026-06-26T16:13:25,polygon_options_contracts,active option contract found
RKLB,Y,2026-06-26T16:14:50,polygon_options_contracts,active option contract found
ROP,Y,2026-06-26T16:13:30,polygon_options_contracts,active option contract found
ROST,Y,2026-06-26T16:13:36,polygon_options_contracts,active option contract found
SBUX,Y,2026-06-26T16:13:54,polygon_options_contracts,active option contract found
SHOP,Y,2026-06-26T16:13:49,polygon_options_contracts,active option contract found
SNDK,Y,2026-06-26T16:13:42,polygon_options_contracts,active option contract found
SNPS,Y,2026-06-26T16:13:55,polygon_options_contracts,active option contract found
STX,Y,2026-06-26T16:13:48,polygon_options_contracts,active option contract found
TER,Y,2026-06-26T16:14:51,polygon_options_contracts,active option contract found
TMUS,Y,2026-06-26T16:13:56,polygon_options_contracts,active option contract found
TRI,Y,2026-06-26T16:14:00,polygon_options_contracts,active option contract found
TSLA,Y,2026-06-26T16:13:58,polygon_options_contracts,active option contract found
TTWO,Y,2026-06-26T16:13:57,polygon_options_contracts,active option contract found
TXN,Y,2026-06-26T16:13:59,polygon_options_contracts,active option contract found
V,Y,2026-06-26T16:14:34,polygon_options_contracts,active option contract found
VRTX,Y,2026-06-26T16:14:01,polygon_options_contracts,active option contract found
WBD,Y,2026-06-26T16:15:47,polygon_options_contracts,active option contract found
WDAY,Y,2026-06-26T16:14:24,polygon_options_contracts,active option contract found
WDC,Y,2026-06-26T16:14:18,polygon_options_contracts,active option contract found
WMT,Y,2026-06-26T16:14:02,polygon_options_contracts,active option contract found
XEL,Y,2026-06-26T16:14:25,polygon_options_contracts,active option contract found
XOM,Y,2026-06-26T16:14:36,polygon_options_contracts,active option contract found
