ticker,date,open,high,low,close,volume,vwap,transactions,turnover
09618,2026-03-09,99.0156,102.1038,98.726,101.8142,23771929.0,,,2496541882.0
09618,2026-03-10,103.8409,104.9024,102.9723,104.7094,13555673.0,,,1464729109.0
09618,2026-03-11,105.192,106.6396,104.2269,104.8059,8840612.0,,,961189708.0
09618,2026-03-12,105.0955,106.7361,104.5164,105.6745,8770540.0,,,959326729.0
09618,2026-03-13,105.6745,107.8941,105.192,105.771,9895902.0,,,1092952342.0
09618,2026-03-16,107.1221,108.2802,106.7361,107.6046,9999042.0,,,1115363176.0
09618,2026-03-17,107.8941,109.6313,107.7011,108.1837,7665981.0,,,861718185.0
09618,2026-03-18,108.3767,110.0173,107.7976,108.8592,7938873.0,,,895902121.0
09618,2026-03-19,106.157,108.1837,106.157,106.8326,9831672.0,,,1090548119.0
09618,2026-03-20,104.6129,106.157,102.4898,104.8059,21697532.0,,,2342630880.0
09618,2026-03-23,102.7793,102.9723,99.8841,101.4282,19055693.0,,,2009341044.0
09618,2026-03-24,102.2003,103.8409,100.8492,103.4549,8148970.0,,,867558993.0
09618,2026-03-25,104.5164,109.3417,104.0339,108.4732,18278547.0,,,2030145173.0
09618,2026-03-26,111.1754,112.2369,109.0522,109.6313,17228223.0,,,1967389654.0
09618,2026-03-27,110.0173,111.6579,109.7278,109.7278,10465238.0,,,1197850754.0
09618,2026-03-30,106.4466,110.3068,106.4466,109.0522,13019171.0,,,1468717461.0
09618,2026-03-31,109.6313,110.9824,107.9907,109.2452,10114180.0,,,1143341813.0
09618,2026-04-01,110.4033,111.4649,108.7627,108.9557,8581179.0,,,973529193.0
09618,2026-04-02,108.2802,108.8592,106.8326,107.9907,8000443.0,,,892222650.0
09618,2026-04-08,111.1,112.3,109.6,111.9,14245698.0,,,1584869497.0
09618,2026-04-09,110.0,112.5,109.9,111.7,11053570.0,,,1233209336.0
09618,2026-04-10,111.7,112.8,111.1,111.4,6118243.0,,,683874283.0
09618,2026-04-13,112.2,113.2,111.4,112.3,6643006.0,,,744616014.0
09618,2026-04-14,113.0,116.5,111.5,115.4,13878249.0,,,1588204226.0
09618,2026-04-15,122.3,124.3,120.5,120.7,23272509.0,,,2838991137.0
09618,2026-04-16,123.4,124.2,122.7,123.8,15218068.0,,,1880909201.0
09618,2026-04-17,121.8,123.3,121.4,122.6,8807963.0,,,1074890619.0
09618,2026-04-20,123.3,123.3,121.6,122.4,7966703.0,,,974377831.0
09618,2026-04-21,123.2,123.5,121.7,123.0,4823387.0,,,591841817.0
09618,2026-04-22,120.1,120.4,119.3,120.2,7945596.0,,,952582561.0
09618,2026-04-23,119.2,119.8,118.4,118.7,4895719.0,,,582048718.0
09618,2026-04-24,117.6,118.7,116.6,118.5,5704531.0,,,672391727.0
09618,2026-04-27,117.4,117.9,116.5,117.0,8177593.0,,,956991020.0
09618,2026-04-28,115.5,117.5,114.9,115.3,9620882.0,,,1114026357.0
