ticker,date,open,high,low,close,volume,vwap,transactions
AVGO,2024-06-17,180.0,184.3,177.858,182.887,87527620.0,181.565,345770
AVGO,2024-06-18,183.959,185.162,178.501,180.252,86796740.0,181.3981,355894
AVGO,2024-06-20,180.346,180.475,172.222,173.456,68156620.0,175.3839,316098
AVGO,2024-06-21,169.566,171.3999,165.142,165.863,99998610.0,167.6992,251843
AVGO,2024-06-24,164.205,166.1,159.066,159.221,58575380.0,161.6815,243281
AVGO,2024-06-25,160.013,160.604,156.4,158.079,56810450.0,158.6046,207096
AVGO,2024-06-26,159.762,161.818,157.359,159.2,46478750.0,159.3256,154820
AVGO,2024-06-27,159.2,160.562,157.1,158.666,31649060.0,158.4682,132525
AVGO,2024-06-28,159.588,163.923,158.6,160.553,69376630.0,160.6588,164608
AVGO,2024-07-01,160.82,164.875,159.35,164.08,47623440.0,162.3121,160555
AVGO,2024-07-02,164.08,165.92,162.2,165.748,32538840.0,164.6285,126111
AVGO,2024-07-03,167.0,172.922,166.446,172.922,39953820.0,170.6221,214182
AVGO,2024-07-05,175.556,176.547,169.6,170.331,45240480.0,171.7224,222713
AVGO,2024-07-08,170.5,175.69,170.5,174.586,36398460.0,173.5015,171547
AVGO,2024-07-09,175.656,177.098,170.556,173.331,37916210.0,173.3672,181543
AVGO,2024-07-10,174.6,176.649,172.6363,174.469,41074200.0,174.6814,154998
AVGO,2024-07-11,176.466,176.487,166.85,170.595,51111680.0,170.8013,256774
AVGO,2024-07-12,171.103,172.591,169.131,170.067,30453000.0,171.0119,148515
AVGO,2024-07-15,170.0,173.5099,169.26,171.42,22999201.0,171.2475,309358
AVGO,2024-07-16,172.4,172.81,166.4,169.375,22244943.0,168.6533,316490
AVGO,2024-07-17,162.31,162.84,155.61,155.98,43343355.0,158.2872,561476
AVGO,2024-07-18,158.89,161.51,153.9,160.52,37973498.0,158.0217,442434
AVGO,2024-07-19,161.84,163.95,157.12,157.35,26309545.0,159.5368,301481
AVGO,2024-07-22,160.23,162.99,157.9,161.06,28813334.0,160.4815,308780
AVGO,2024-07-23,160.395,165.33,159.9,163.77,21570177.0,163.65,257507
AVGO,2024-07-24,160.355,161.405,151.1,151.34,37162620.0,153.5349,379594
AVGO,2024-07-25,151.26,153.55,145.52,149.26,30872127.0,150.1323,378307
AVGO,2024-07-26,153.5,153.58,149.9202,151.63,20839871.0,151.557,251410
AVGO,2024-07-29,152.02,155.0,149.15,150.22,16625762.0,151.2573,204668
AVGO,2024-07-30,153.28,153.47,143.35,143.52,31102341.0,145.8141,337305
AVGO,2024-07-31,151.47,161.33,151.0,160.68,45827511.0,158.0429,486980
AVGO,2024-08-01,157.5,158.91,146.17,147.02,40319955.0,150.0048,455528
AVGO,2024-08-02,141.925,145.35,139.6,143.82,33745843.0,142.8047,425815
AVGO,2024-08-05,129.61,145.42,128.5,142.08,41309257.0,139.7643,474195
AVGO,2024-08-06,141.73,148.91,140.25,143.92,24751290.0,145.081,309871
AVGO,2024-08-07,148.25,150.1,135.83,136.27,29749755.0,140.9221,324753
AVGO,2024-08-08,141.2,146.27,138.4,145.74,27583199.0,144.0733,265142
AVGO,2024-08-09,144.2,149.55,144.11,148.26,18438655.0,147.7585,209625
AVGO,2024-08-12,148.08,151.13,146.37,148.62,17778473.0,148.5757,196430
AVGO,2024-08-13,151.55,156.38,149.81,156.16,22053604.0,154.4673,254532
AVGO,2024-08-14,158.02,160.25,154.72,157.69,20184199.0,157.512,241808
AVGO,2024-08-15,161.2,166.67,160.3351,166.13,27944968.0,165.1018,299670
AVGO,2024-08-16,164.47,166.09,162.68,165.72,19296868.0,164.9142,206495
AVGO,2024-08-19,164.86,167.83,160.42,167.71,20441691.0,165.1928,230923
AVGO,2024-08-20,167.05,168.3699,164.15,165.95,19417494.0,166.0035,190042
AVGO,2024-08-21,165.12,166.47,162.88,165.78,16097693.0,165.0012,199708
AVGO,2024-08-22,170.84,172.42,161.49,162.34,30044532.0,165.6091,317690
AVGO,2024-08-23,165.025,168.28,163.46,166.36,18848022.0,165.8554,219697
AVGO,2024-08-26,164.96,165.7,158.66,159.62,18521153.0,160.6072,234310
AVGO,2024-08-27,157.6,162.03,155.83,161.39,16683106.0,159.8798,204056
