ticker,date,open,high,low,close,volume,vwap,transactions
ADI,2024-06-17,230.54,232.5,227.94,232.39,2414979.0,230.8339,55288
ADI,2024-06-18,231.74,236.43,231.28,235.38,2457388.0,234.9229,48694
ADI,2024-06-20,232.43,232.67,228.805,229.51,4562318.0,230.2487,75784
ADI,2024-06-21,231.535,231.88,229.07,231.05,7366423.0,231.0291,59421
ADI,2024-06-24,231.05,231.94,228.1,228.46,2413626.0,229.3156,46979
ADI,2024-06-25,231.08,231.08,225.84,230.34,2015750.0,229.9395,36138
ADI,2024-06-26,229.32,229.99,226.57,227.84,2510576.0,227.8468,42052
ADI,2024-06-27,227.0,228.44,225.98,226.68,2159085.0,226.7781,41013
ADI,2024-06-28,228.15,232.065,226.86,228.26,3634130.0,228.7844,51439
ADI,2024-07-01,226.7,226.95,223.92,225.18,2307800.0,225.2498,46704
ADI,2024-07-02,224.56,228.37,224.56,228.24,2417892.0,227.5976,40925
ADI,2024-07-03,228.67,230.99,227.04,230.02,1425672.0,229.4643,24462
ADI,2024-07-05,231.42,231.505,228.37,230.89,2251928.0,230.5672,31857
ADI,2024-07-08,232.18,233.75,231.67,233.34,1729502.0,233.1077,34974
ADI,2024-07-09,233.76,234.26,230.91,232.01,1315573.0,232.0968,28661
ADI,2024-07-10,234.46,239.09,233.1,238.33,4037562.0,237.4951,52035
ADI,2024-07-11,238.76,239.1999,233.67,233.74,3104524.0,235.123,51547
ADI,2024-07-12,238.35,242.16,236.15,238.56,3105747.0,239.4281,58014
ADI,2024-07-15,237.14,239.77,236.1,237.72,2057260.0,237.992,42167
ADI,2024-07-16,239.01,243.83,237.645,243.33,1964664.0,242.0183,42123
ADI,2024-07-17,240.48,244.14,235.41,235.61,4448188.0,238.2692,78635
ADI,2024-07-18,236.48,241.1,236.29,238.99,3688460.0,238.2561,65394
ADI,2024-07-19,240.3,240.3,230.74,231.22,2894851.0,232.6629,51793
ADI,2024-07-22,237.12,240.26,233.32,240.04,2827273.0,238.3935,47648
ADI,2024-07-23,234.1,236.92,229.03,230.32,3876208.0,231.5678,69110
ADI,2024-07-24,230.63,230.96,223.74,224.62,4589596.0,225.9154,76069
ADI,2024-07-25,221.51,227.61,217.25,220.92,5114615.0,222.1297,91190
ADI,2024-07-26,225.3,227.25,222.97,226.43,4296172.0,225.8262,69812
ADI,2024-07-29,228.74,230.27,225.33,227.4,2672195.0,227.6921,36379
ADI,2024-07-30,228.85,230.18,222.9,224.58,3955556.0,225.5652,57355
ADI,2024-07-31,229.76,232.1599,226.94,231.38,4308081.0,230.5556,54610
ADI,2024-08-01,228.08,231.2,216.77,218.92,5404581.0,220.9851,82442
ADI,2024-08-02,212.48,213.07,206.71,207.96,6796683.0,209.7037,100979
ADI,2024-08-05,206.03,209.09,198.73,200.56,4879768.0,201.8287,87584
ADI,2024-08-06,201.36,208.7,201.18,204.88,4671145.0,205.8486,74306
ADI,2024-08-07,210.47,211.42,200.86,201.31,4178209.0,204.1504,62317
ADI,2024-08-08,206.19,214.14,204.27,213.64,4510126.0,211.9192,67189
ADI,2024-08-09,209.95,213.73,209.16,211.31,2482181.0,211.2758,38808
ADI,2024-08-12,212.15,213.4,210.0,212.08,1712145.0,211.6587,36993
ADI,2024-08-13,213.25,218.6,213.2,218.01,4011066.0,216.8635,51520
ADI,2024-08-14,216.92,218.11,212.8,215.32,2409608.0,215.3136,43127
ADI,2024-08-15,220.45,224.24,219.42,223.67,5197357.0,222.8096,59625
ADI,2024-08-16,223.045,223.8,221.42,223.19,2573637.0,222.8211,40261
ADI,2024-08-19,222.43,226.08,221.49,225.95,2803180.0,224.3456,48219
ADI,2024-08-20,223.96,226.015,221.39,223.49,3994245.0,223.5392,66940
