ticker,date,open,high,low,close,volume,vwap,transactions,turnover
002185,2026-05-06,13.66,14.04,13.56,13.6,,,,
002185,2026-05-07,13.83,13.96,13.51,13.92,,,,
002185,2026-05-08,13.68,13.83,13.43,13.72,,,,
002185,2026-05-11,13.99,14.73,13.99,14.72,,,,
002185,2026-05-12,14.78,14.78,14.29,14.41,,,,
002185,2026-05-13,14.06,14.73,13.89,14.61,,,,
002185,2026-05-14,14.65,14.86,14.23,14.24,,,,
002185,2026-05-15,14.26,14.75,13.87,14.28,,,,
002185,2026-05-18,14.28,15.03,14.2,14.67,,,,
002185,2026-05-19,14.48,15.42,14.21,15.28,,,,
002185,2026-05-20,15.13,16.76,15.03,15.86,,,,
002185,2026-05-21,15.98,16.44,15.06,15.17,,,,
002185,2026-05-22,15.41,15.5,14.66,15.41,,,,
002185,2026-05-25,15.98,16.95,15.89,16.95,,,,
002185,2026-05-26,18.65,18.65,18.14,18.65,,,,
002185,2026-05-27,19.73,20.52,19.38,20.13,,,,
002185,2026-05-28,20.13,21.94,20.13,21.47,,,,
002185,2026-05-29,21.05,21.48,19.32,19.32,,,,
002185,2026-06-01,19.63,20.25,18.24,18.41,,,,
002185,2026-06-02,18.23,18.63,17.49,18.31,,,,
002185,2026-06-03,18.46,20.08,18.34,19.14,,,,
002185,2026-06-04,18.64,19.48,18.53,19.24,,,,
002185,2026-06-05,18.96,19.14,17.87,18.06,,,,
002185,2026-06-08,16.9,17.53,16.53,16.78,,,,
002185,2026-06-09,17.37,17.71,16.79,17.62,,,,
002185,2026-06-10,17.31,17.76,16.85,17.11,,,,
002185,2026-06-11,17.06,17.2,16.52,16.75,,,,
002185,2026-06-12,17.35,17.53,16.01,16.06,,,,
002185,2026-06-15,16.38,17.14,16.07,17.13,,,,
002185,2026-06-16,17.3,18.05,17.2,17.82,,,,
002185,2026-06-17,17.5,19.19,17.45,19.05,,,,
002185,2026-06-18,19.3,19.94,19.05,19.61,,,,
002185,2026-06-22,19.99,20.49,19.5,20.44,,,,
002185,2026-06-23,20.08,20.88,19.28,19.54,,,,
002185,2026-06-24,19.4,21.21,19.08,20.98,,,,
002185,2026-06-25,21.38,22.65,20.73,22.4,,,,
002185,2026-06-26,21.9,23.86,21.71,22.56,,,,
002185,2026-06-29,22.73,23.5,20.58,21.92,,,,
002185,2026-06-30,21.85,22.68,20.82,22.31,,,,
002185,2026-07-01,22.54,23.64,21.28,21.86,,,,
002185,2026-07-02,20.69,21.47,19.67,20.27,,,,
