ticker,date,open,high,low,close,volume,vwap,transactions,turnover
688596,2026-05-06,32.88,34.41,32.87,33.32,,,,
688596,2026-05-07,33.46,33.48,32.9,33.29,,,,
688596,2026-05-08,33.09,34.0,32.5,33.24,,,,
688596,2026-05-11,33.74,35.95,33.45,35.2,,,,
688596,2026-05-12,35.2,36.5,34.65,35.86,,,,
688596,2026-05-13,35.45,38.55,35.36,38.36,,,,
688596,2026-05-14,39.68,46.05,37.89,46.05,,,,
688596,2026-05-15,45.9,49.68,45.2,47.9,,,,
688596,2026-05-18,49.4,52.35,47.4,49.0,,,,
688596,2026-05-19,47.9,50.33,47.1,49.4,,,,
688596,2026-05-20,48.58,51.87,48.17,50.11,,,,
688596,2026-05-21,50.65,50.88,45.28,45.31,,,,
688596,2026-05-22,46.0,46.68,44.9,46.64,,,,
688596,2026-05-25,46.94,47.08,44.46,46.2,,,,
688596,2026-05-26,45.8,45.8,42.2,43.2,,,,
688596,2026-05-27,43.2,43.6,40.86,41.24,,,,
688596,2026-05-28,41.0,44.67,40.5,43.89,,,,
688596,2026-05-29,43.86,44.35,40.14,40.56,,,,
688596,2026-06-01,40.73,41.02,37.96,38.1,,,,
688596,2026-06-02,38.6,39.36,37.61,38.47,,,,
688596,2026-06-03,38.65,39.5,37.32,38.11,,,,
688596,2026-06-04,37.65,40.81,37.38,39.84,,,,
688596,2026-06-05,39.05,42.63,37.84,40.9,,,,
688596,2026-06-08,38.88,40.49,37.51,37.94,,,,
688596,2026-06-09,39.03,45.53,38.55,45.53,,,,
688596,2026-06-10,45.0,47.36,44.2,45.93,,,,
688596,2026-06-11,45.93,48.86,45.5,47.42,,,,
688596,2026-06-12,48.3,52.06,45.17,46.22,,,,
688596,2026-06-15,45.0,47.14,43.72,45.11,,,,
688596,2026-06-16,46.96,47.8,44.42,44.75,,,,
688596,2026-06-17,43.96,47.8,43.0,46.8,,,,
688596,2026-06-18,46.01,47.6,45.44,46.1,,,,
688596,2026-06-22,46.5,47.55,43.88,45.13,,,,
688596,2026-06-23,44.68,47.7,43.38,45.26,,,,
688596,2026-06-24,44.99,47.76,43.5,47.61,,,,
688596,2026-06-25,49.33,49.96,45.6,46.85,,,,
688596,2026-06-26,46.0,56.22,45.5,56.22,,,,
688596,2026-06-29,59.04,67.46,55.0,65.95,,,,
688596,2026-06-30,70.61,79.14,70.61,79.06,,,,
688596,2026-07-01,81.3,88.66,80.01,83.66,,,,
688596,2026-07-02,77.7,84.0,75.11,79.97,,,,
