ticker,date,open,high,low,close,volume,vwap,transactions,turnover
002436,2026-05-06,29.62,30.45,29.33,29.44,,,,
002436,2026-05-07,29.56,32.39,29.17,32.39,,,,
002436,2026-05-08,32.19,32.71,31.54,31.98,,,,
002436,2026-05-11,33.17,33.58,32.27,33.14,,,,
002436,2026-05-12,33.67,34.22,32.52,33.42,,,,
002436,2026-05-13,32.57,34.47,32.2,34.16,,,,
002436,2026-05-14,34.28,34.71,32.47,32.68,,,,
002436,2026-05-15,32.98,33.84,31.11,31.46,,,,
002436,2026-05-18,31.48,33.88,30.97,33.58,,,,
002436,2026-05-19,32.28,32.97,31.33,32.8,,,,
002436,2026-05-20,32.57,33.77,31.98,33.51,,,,
002436,2026-05-21,33.51,36.38,32.75,33.26,,,,
002436,2026-05-22,35.54,35.96,34.48,35.39,,,,
002436,2026-05-25,35.97,38.17,35.4,38.09,,,,
002436,2026-05-26,37.47,39.47,37.02,38.08,,,,
002436,2026-05-27,37.8,38.42,36.16,36.99,,,,
002436,2026-05-28,36.0,36.65,35.15,36.34,,,,
002436,2026-05-29,37.06,39.97,37.06,38.68,,,,
002436,2026-06-01,38.5,40.2,37.15,38.62,,,,
002436,2026-06-02,37.23,42.48,37.01,42.22,,,,
002436,2026-06-03,42.33,42.6,39.13,39.82,,,,
002436,2026-06-04,39.51,42.5,39.5,40.87,,,,
002436,2026-06-05,39.5,40.39,37.5,37.9,,,,
002436,2026-06-08,35.01,38.88,35.01,37.0,,,,
002436,2026-06-09,37.99,38.35,36.6,38.15,,,,
002436,2026-06-10,38.19,39.96,36.3,37.28,,,,
002436,2026-06-11,36.96,38.0,35.5,36.75,,,,
002436,2026-06-12,37.89,39.2,36.88,37.8,,,,
002436,2026-06-15,38.2,40.13,37.33,40.09,,,,
002436,2026-06-16,39.99,44.1,39.68,44.1,,,,
002436,2026-06-17,45.01,48.51,45.01,47.8,,,,
002436,2026-06-18,46.9,52.58,45.58,52.06,,,,
002436,2026-06-22,53.5,55.0,51.85,53.3,,,,
002436,2026-06-23,52.0,52.8,47.99,48.5,,,,
002436,2026-06-24,48.5,51.61,48.3,50.23,,,,
002436,2026-06-25,51.1,54.1,49.0,53.53,,,,
002436,2026-06-26,53.0,54.79,49.92,51.81,,,,
002436,2026-06-29,52.0,53.88,47.11,49.0,,,,
002436,2026-06-30,49.0,52.3,48.05,50.95,,,,
002436,2026-07-01,51.7,53.24,46.82,47.48,,,,
002436,2026-07-02,45.6,48.33,44.56,45.41,,,,
