ticker,date,open,high,low,close,volume,vwap,transactions,turnover
603678,2026-05-06,32.82,33.9,32.82,32.92,,,,
603678,2026-05-07,33.04,33.16,32.48,32.79,,,,
603678,2026-05-08,32.65,33.51,32.22,33.4,,,,
603678,2026-05-11,33.9,35.11,33.7,34.46,,,,
603678,2026-05-12,34.53,34.66,33.45,33.65,,,,
603678,2026-05-13,33.57,34.32,33.3,34.11,,,,
603678,2026-05-14,34.17,34.24,32.69,32.71,,,,
603678,2026-05-15,33.08,33.38,31.92,32.05,,,,
603678,2026-05-18,31.91,33.44,31.52,32.65,,,,
603678,2026-05-19,32.52,35.53,31.99,34.84,,,,
603678,2026-05-20,34.75,35.75,34.51,35.11,,,,
603678,2026-05-21,35.22,36.42,34.07,34.17,,,,
603678,2026-05-22,34.46,37.6,34.46,37.6,,,,
603678,2026-05-25,41.24,41.26,39.03,39.42,,,,
603678,2026-05-26,39.41,41.0,38.78,40.56,,,,
603678,2026-05-27,41.27,43.77,40.92,42.93,,,,
603678,2026-05-28,43.72,47.23,42.93,47.23,,,,
603678,2026-05-29,48.92,51.36,47.92,48.36,,,,
603678,2026-06-01,46.46,53.2,46.46,53.2,,,,
603678,2026-06-02,52.07,58.53,51.42,58.53,,,,
603678,2026-06-03,59.91,64.39,59.14,63.85,,,,
603678,2026-06-04,62.61,65.86,60.62,64.47,,,,
603678,2026-06-05,63.82,64.94,61.1,62.98,,,,
603678,2026-06-08,58.01,65.8,56.68,56.68,,,,
603678,2026-06-09,58.27,61.14,52.61,59.62,,,,
603678,2026-06-10,56.74,59.02,54.61,56.28,,,,
603678,2026-06-11,56.24,61.91,55.15,61.91,,,,
603678,2026-06-12,62.83,63.7,57.0,58.15,,,,
603678,2026-06-15,59.9,63.97,59.9,63.97,,,,
603678,2026-06-16,68.36,69.36,65.68,67.7,,,,
603678,2026-06-17,66.3,69.73,65.5,69.71,,,,
603678,2026-06-18,68.0,74.8,67.4,67.75,,,,
603678,2026-06-22,67.99,68.88,62.8,65.19,,,,
603678,2026-06-23,63.5,63.79,59.48,62.09,,,,
603678,2026-06-24,62.05,68.3,62.05,68.3,,,,
603678,2026-06-25,72.33,75.13,71.98,75.13,,,,
603678,2026-06-26,74.6,81.01,73.63,79.49,,,,
603678,2026-06-29,81.49,87.3,76.5,80.43,,,,
603678,2026-06-30,80.0,84.88,77.2,83.0,,,,
603678,2026-07-01,85.6,91.3,84.0,87.5,,,,
603678,2026-07-02,79.81,83.0,78.75,81.27,,,,
